map:159
grid8	-7404.0	3789.0
grid8	-7398.0	3789.0
grid8	-7398.0	3802.0
grid8	-7396.0	3802.0
grid8	-7396.0	3817.0
grid8	-7395.0	3817.0
grid8	-7395.0	3820.0
grid8	-7394.0	3820.0
grid8	-7393.0	3820.0
grid8	-7393.0	3821.0
grid8	-7392.0	3821.0
grid8	-7392.0	3820.0
grid8	-7391.0	3820.0
grid8	-7390.0	3821.0
grid8	-7371.0	3822.0
grid8	-7370.0	3823.0
grid8	-7364.0	3823.0
grid8	-7364.0	3787.0
grid8	-7371.0	3787.0
grid8	-7385.0	3787.0
grid8	-7386.0	3787.0
grid8	-7388.0	3787.0
grid8	-7388.0	3787.0
grid8	-7404.0	3787.0
NA	NA	NA
grid9	-7261.0	3529.0
grid9	-7262.0	3534.0
grid9	-7263.0	3535.0
grid9	-7264.0	3537.0
grid9	-7264.0	3538.0
grid9	-7243.0	3539.0
grid9	-7240.0	3540.0
grid9	-7238.0	3539.0
grid9	-7236.0	3539.0
grid9	-7234.0	3536.0
grid9	-7233.0	3536.0
grid9	-7233.0	3538.0
grid9	-7232.0	3538.0
grid9	-7231.0	3537.0
grid9	-7229.0	3534.0
grid9	-7227.0	3532.0
grid9	-7225.0	3531.0
grid9	-7222.0	3530.0
grid9	-7222.0	3520.0
grid9	-7223.0	3520.0
grid9	-7238.0	3520.0
grid9	-7238.0	3519.0
grid9	-7246.0	3519.0
grid9	-7246.0	3521.0
grid9	-7250.0	3522.0
grid9	-7251.0	3529.0
grid9	-7252.0	3530.0
grid9	-7252.0	3531.0
grid9	-7255.0	3531.0
grid9	-7256.0	3529.0
grid9	-7261.0	3529.0
NA	NA	NA
grid10	-7223.0	3463.0
grid10	-7222.0	3461.0
grid10	-7223.0	3459.0
grid10	-7233.0	3459.0
grid10	-7233.0	3451.0
grid10	-7237.0	3451.0
grid10	-7237.0	3449.0
grid10	-7244.0	3448.0
grid10	-7244.0	3452.0
grid10	-7247.0	3456.0
grid10	-7247.0	3461.0
grid10	-7247.0	3464.0
grid10	-7249.0	3468.0
grid10	-7251.0	3472.0
grid10	-7253.0	3473.0
grid10	-7254.0	3474.0
grid10	-7256.0	3474.0
grid10	-7256.0	3475.0
grid10	-7258.0	3478.0
grid10	-7258.0	3479.0
grid10	-7258.0	3483.0
grid10	-7258.0	3484.0
grid10	-7257.0	3485.0
grid10	-7257.0	3486.0
grid10	-7256.0	3487.0
grid10	-7255.0	3487.0
grid10	-7254.0	3489.0
grid10	-7254.0	3496.0
grid10	-7251.0	3496.0
grid10	-7251.0	3497.0
grid10	-7246.0	3497.0
grid10	-7233.0	3497.0
grid10	-7233.0	3494.0
grid10	-7233.0	3493.0
grid10	-7233.0	3490.0
grid10	-7232.0	3487.0
grid10	-7230.0	3486.0
grid10	-7230.0	3484.0
grid10	-7229.0	3481.0
grid10	-7226.0	3479.0
grid10	-7224.0	3477.0
grid10	-7223.0	3475.0
grid10	-7223.0	3473.0
grid10	-7224.0	3470.0
grid10	-7224.0	3467.0
grid10	-7223.0	3463.0
NA	NA	NA
